fecha,cliente,medio,titular,texto,alcance
2026-07-13,Lumora,La Razon,"Entrevista al CEO de Lumora: ""baterias es el futuro""",Fuentes cercanas a Lumora confirman movimientos en baterias.,21553
2026-07-24,Velfy,El Pais,Velfy cierra un acuerdo en criptoactivos,"El reportaje analiza la posicion de Velfy en criptoactivos, con datos del ultimo trimestre.",60371
2026-06-22,Brio Energia,Europa Press,Brio Energia refuerza su compromiso con la sostenibilidad,"Segun el articulo, Brio Energia continua su expansion en hidrogeno verde.",90714
2026-06-17,Brio Energia,El Mundo,Brio Energia presenta su plan de hidrogeno verde,Brio Energia destaca por su enfoque en hidrogeno verde e inteligencia artificial.,130370
2026-07-07,Brio Energia,Europa Press,Brio Energia invierte en energia renovable,La compania Brio Energia ha comunicado avances en energia renovable.,78806
23/07/2026,Nortia Retail,La Razon,Nortia Retail apuesta por comercio electronico,Fuentes cercanas a Nortia Retail confirman movimientos en comercio electronico.,40000
2026-05-07,Velfy,Xataka,Velfy crece en criptoactivos,La compania Velfy ha comunicado avances en criptoactivos.,75377
2026-06-21,Nortia Retail,Forbes Espana,Nortia Retail invierte en campana de rebajas,"El reportaje analiza la posicion de Nortia Retail en campana de rebajas, con datos del ultimo trimestre.",28975
2026-05-13,Nortia Retail,Cinco Dias,Nortia Retail apuesta por campana de rebajas,"El reportaje analiza la posicion de Nortia Retail en campana de rebajas, con datos del ultimo trimestre.",28823
2026-06-26,Brio Energia,Expansion,"Brio Energia gana cuota en eolica marina, segun fuentes del sector",Brio Energia destaca por su enfoque en eolica marina e inteligencia artificial.,77731
2026-06-03,Brio Energia,El Economista,Brio Energia invierte en hidrogeno verde,Brio Energia destaca por su enfoque en hidrogeno verde e inteligencia artificial.,49326
2026-06-07,Nortia Retail,Business Insider Espana,"Entrevista al CEO de Nortia Retail: ""omnicanalidad es el futuro""","El reportaje analiza la posicion de Nortia Retail en omnicanalidad, con datos del ultimo trimestre.",50756
2026-06-10,Lumora,El Mundo,Lumora y la analitica de flotas,Reportaje sobre flotas y datos de Lumora.,110000
2026-07-07,Brio Energia,Expansion,Brio Energia invierte en energia renovable,Brio Energia destaca por su enfoque en energia renovable e inteligencia artificial.,89895
2026-07-08,Velfy,Europa Press,Velfy anuncia novedades en pagos digitales,La compania Velfy ha comunicado avances en pagos digitales.,70.000
2026-06-01,Brio Energia,La Razon,Brio Energia crece en hidrogeno verde,Brio Energia destaca por su enfoque en hidrogeno verde e inteligencia artificial.,
2026-05-05,Velfy,El Confidencial,Velfy apuesta por fintech,"Segun el articulo, Velfy continua su expansion en fintech.",59885
2026-05-13,Lumora,La Razon,Lumora apuesta por vehiculo electrico,Fuentes cercanas a Lumora confirman movimientos en vehiculo electrico.,40982
2026-06-17,Velfy,El Mundo,Velfy gana cuota en fintech,La compania Velfy ha comunicado avances en fintech.,90214
2026-06-13,,Business Insider Espana,El sector debate sobre inteligencia artificial,Reportaje general sobre inteligencia artificial.,45000
2026-05-12,Velfy,Business Insider Espana,Velfy cierra un acuerdo en pagos digitales,Velfy destaca por su enfoque en pagos digitales e inteligencia artificial.,26127
2026-06-19,Nortia Retail,Europa Press,"Nortia Retail refuerza su estrategia de comercio electronico, segun fuentes del sector",Fuentes cercanas a Nortia Retail confirman movimientos en comercio electronico.,70487
2026-06-01,Brio Energia,El Mundo,Brio Energia refuerza su compromiso con la sostenibilidad,Fuentes cercanas a Brio Energia confirman movimientos en energia renovable.,141545
2026-06-02,Velfy,El Economista,Velfy apuesta por app de finanzas,Fuentes cercanas a Velfy confirman movimientos en app de finanzas.,64886
2026-07-06,Lumora,El Confidencial,Lumora refuerza su compromiso con la sostenibilidad,"Segun el articulo, Lumora continua su expansion en vehiculo electrico.",85188
2026-06-20,Brio Energia,Cinco Dias,"Brio Energia anuncia novedades en energia renovable, segun fuentes del sector","El reportaje analiza la posicion de Brio Energia en energia renovable, con datos del ultimo trimestre.",32010
2026-05-20,Lumora,La Vanguardia,Lumora gana cuota en movilidad electrica,"Segun el articulo, Lumora continua su expansion en movilidad electrica.",-
2026-07-23,Lumora,El Economista,Lumora cierra un acuerdo en puntos de recarga,La compania Lumora ha comunicado avances en puntos de recarga.,65192
2026-06-18,Lumora,Xataka,"Lumora anuncia novedades en puntos de recarga, segun fuentes del sector","El reportaje analiza la posicion de Lumora en puntos de recarga, con datos del ultimo trimestre.",88263
2026-06-26,Velfy,La Vanguardia,Velfy apuesta por fintech,Fuentes cercanas a Velfy confirman movimientos en fintech.,66562
2026-05-06,Nortia Retail,elDiario.es,Nortia Retail refuerza su compromiso con la sostenibilidad,"El reportaje analiza la posicion de Nortia Retail en logistica de ultima milla, con datos del ultimo trimestre.",69089
2026-07-20,Lumora,Forbes Espana,Lumora crece en vehiculo electrico,"El reportaje analiza la posicion de Lumora en vehiculo electrico, con datos del ultimo trimestre.",23195
2026-06-25,Velfy,El Confidencial,"Velfy crece en app de finanzas, segun fuentes del sector","El reportaje analiza la posicion de Velfy en app de finanzas, con datos del ultimo trimestre.",60828
2026-07-21,Lumora,Xataka,"Entrevista al CEO de Lumora: ""movilidad electrica es el futuro""",Fuentes cercanas a Lumora confirman movimientos en movilidad electrica.,74751
2026-07-11,Lumora,La Vanguardia,"Entrevista al CEO de Lumora: ""baterias es el futuro""","Segun el articulo, Lumora continua su expansion en baterias.",117534
2026-07-20,Velfy,Europa Press,Velfy presenta su plan de fintech,"El reportaje analiza la posicion de Velfy en fintech, con datos del ultimo trimestre.",76669
2026-05-28,Velfy,Expansion,Velfy invierte en pagos digitales,Fuentes cercanas a Velfy confirman movimientos en pagos digitales.,73761
2026-06-21,Brio Energia,elDiario.es,Brio Energia lidera energia renovable,Fuentes cercanas a Brio Energia confirman movimientos en energia renovable.,78157
2026-05-15,Nortia Retail,elDiario.es,"Entrevista al CEO de Nortia Retail: ""comercio electronico es el futuro""",La compania Nortia Retail ha comunicado avances en comercio electronico.,61819
2026-05-25,Velfy,El Economista,Velfy cierra un acuerdo en criptoactivos,"Segun el articulo, Velfy continua su expansion en criptoactivos.",60891
2026-06-05,Velfy,La Vanguardia,Analisis: el futuro de fintech segun Velfy,La compania Velfy ha comunicado avances en fintech.,100452
2026-06-19,Brio Energia,El Pais,"Entrevista al CEO de Brio Energia: ""parque solar es el futuro""","Segun el articulo, Brio Energia continua su expansion en parque solar.",108954
2026-05-10,Brio Energia,Europa Press,Brio Energia crece en eolica marina,"El reportaje analiza la posicion de Brio Energia en eolica marina, con datos del ultimo trimestre.",30815
2026-07-19,Velfy,La Razon,"Nortia Retail: ""somos lideres"", dice su CEO; el sector, expectante","La empresa, con sede en Madrid, crece; segun fuentes, un 20%.",40000
2026-05-01,Brio Energia,El Economista,Brio Energia lidera energia renovable,"El reportaje analiza la posicion de Brio Energia en energia renovable, con datos del ultimo trimestre.",64173
2026-07-05,Lumora,20minutos,Lumora apuesta por movilidad electrica,La compania Lumora ha comunicado avances en movilidad electrica.,126630
2026-06-13,Velfy,Business Insider Espana,Velfy anuncia novedades en app de finanzas,"Segun el articulo, Velfy continua su expansion en app de finanzas.",21250
2026-06-09,Velfy,El Economista,Velfy cierra un acuerdo en app de finanzas,La compania Velfy ha comunicado avances en app de finanzas.,2M
2026-07-16,Velfy,Expansion,Velfy crece en fintech,"El reportaje analiza la posicion de Velfy en fintech, con datos del ultimo trimestre.",104443
2026-07-24,Lumora,El Confidencial,Lumora lidera movilidad electrica,Fuentes cercanas a Lumora confirman movimientos en movilidad electrica.,99826
2026-06-02,Nortia Retail,El Economista,Nortia Retail anuncia novedades en omnicanalidad,"El reportaje analiza la posicion de Nortia Retail en omnicanalidad, con datos del ultimo trimestre.",55.000
2026-07-19,Brio Energia,Xataka,Brio Energia crece en eolica marina,Brio Energia destaca por su enfoque en eolica marina e inteligencia artificial.,39851
2026-07-18,Brio Energia,Cinco Dias,Brio Energia anuncia novedades en eolica marina,"Segun el articulo, Brio Energia continua su expansion en eolica marina.",72881
2026-07-18,Lumora,Expansion,Lumora apuesta por puntos de recarga,Fuentes cercanas a Lumora confirman movimientos en puntos de recarga.,48891
2026-06-02,Velfy,Expansion,Velfy refuerza su estrategia de pagos digitales,Fuentes cercanas a Velfy confirman movimientos en pagos digitales.,46851
2026-06-06,Nortia Retail,El Espanol,Nortia Retail apuesta por tiendas fisicas,Nortia Retail destaca por su enfoque en tiendas fisicas e inteligencia artificial.,75879
2026-07-26,Lumora,El Espanol,"Entrevista al CEO de Lumora: ""baterias es el futuro""",La compania Lumora ha comunicado avances en baterias.,52172
2026-07-06,Lumora,Europa Press,Lumora gana cuota en baterias,"Segun el articulo, Lumora continua su expansion en baterias.",80314
2026-07-24,Lumora,Business Insider Espana,Lumora presenta su plan de baterias,"Segun el articulo, Lumora continua su expansion en baterias.",40050
2026-07-19,Brio Energia,Business Insider Espana,Brio Energia invierte en eolica marina,"El reportaje analiza la posicion de Brio Energia en eolica marina, con datos del ultimo trimestre.",44041
2026-06-27,Velfy,El Mundo,"Entrevista al CEO de Velfy: ""ronda de financiacion es el futuro""",La compania Velfy ha comunicado avances en ronda de financiacion.,97778
2026-07-28,Velfy,La Razon,"Entrevista al CEO de Velfy: ""criptoactivos es el futuro""",La compania Velfy ha comunicado avances en criptoactivos.,33472
2026-05-22,Velfy,Xataka,Analisis: el futuro de fintech segun Velfy,"Segun el articulo, Velfy continua su expansion en fintech.",74404
2026-05-05,Velfy,El Mundo,Velfy invierte en app de finanzas,Velfy destaca por su enfoque en app de finanzas e inteligencia artificial.,121864
2026-05-11,Lumora,El Confidencial,Lumora invierte en baterias,"Segun el articulo, Lumora continua su expansion en baterias.",117585
2026-05-28,Nortia Retail,Business Insider Espana,Nortia Retail anuncia novedades en tiendas fisicas,La compania Nortia Retail ha comunicado avances en tiendas fisicas.,55392
2026-07-19,Nortia Retail,La Vanguardia,Nortia Retail cierra un acuerdo en campana de rebajas,La compania Nortia Retail ha comunicado avances en campana de rebajas.,127894
2026-05-25,Velfy,20minutos,Velfy gana cuota en fintech,Velfy destaca por su enfoque en fintech e inteligencia artificial.,105506
2026-05-18,Brio Energia,El Economista,Brio Energia anuncia novedades en energia renovable,Fuentes cercanas a Brio Energia confirman movimientos en energia renovable.,28715
2026-07-20,Brio Energia,elDiario.es,"Entrevista al CEO de Brio Energia: ""autoconsumo es el futuro""",Fuentes cercanas a Brio Energia confirman movimientos en autoconsumo.,33963
2026-05-03,Nortia Retail,La Razon,Nortia Retail anuncia novedades en logistica de ultima milla,Nortia Retail destaca por su enfoque en logistica de ultima milla e inteligencia artificial.,26648
2026-07-27,Velfy,La Vanguardia,Velfy refuerza su compromiso con la sostenibilidad,"Segun el articulo, Velfy continua su expansion en fintech.",101996
2026-05-08,Nortia Retail,elDiario.es,Nortia Retail crece en comercio electronico,"El reportaje analiza la posicion de Nortia Retail en comercio electronico, con datos del ultimo trimestre.",57680
2026-05-04,Nortia Retail,La Vanguardia,Nortia Retail y la inteligencia artificial en logistica de ultima milla,"Segun el articulo, Nortia Retail continua su expansion en logistica de ultima milla.",99495
2026-05-21,Brio Energia,Expansion,Brio Energia y la inteligencia artificial en autoconsumo,"Segun el articulo, Brio Energia continua su expansion en autoconsumo.",66403
2026-05-07,Velfy,El Pais,Velfy lidera pagos digitales,La compania Velfy ha comunicado avances en pagos digitales.,145469
2026-07-04,Velfy,Expansion,"Entrevista al CEO de Velfy: ""fintech es el futuro""","El reportaje analiza la posicion de Velfy en fintech, con datos del ultimo trimestre.",69602
2026-06-04,Brio Energia,El Espanol,"Brio Energia lidera autoconsumo, segun fuentes del sector",Brio Energia destaca por su enfoque en autoconsumo e inteligencia artificial.,92914
2026-07-26,Lumora,elDiario.es,Lumora apuesta por puntos de recarga,Lumora destaca por su enfoque en puntos de recarga e inteligencia artificial.,45379
2026-05-16,Lumora,El Economista,Analisis: el futuro de baterias segun Lumora,"Segun el articulo, Lumora continua su expansion en baterias.",31833
2026-06-25,Velfy,El Espanol,Velfy invierte en ronda de financiacion,La compania Velfy ha comunicado avances en ronda de financiacion.,52839
2026-05-21,Lumora,ABC,Lumora y la inteligencia artificial en movilidad electrica,Fuentes cercanas a Lumora confirman movimientos en movilidad electrica.,59636
2026-06-07,Lumora,El Pais,Lumora anuncia novedades en movilidad electrica,Fuentes cercanas a Lumora confirman movimientos en movilidad electrica.,138176
2026-06-25,Lumora,El Economista,Lumora anuncia novedades en flotas,La compania Lumora ha comunicado avances en flotas.,48883
2026-05-26,Brio Energia,El Mundo,Brio Energia y la inteligencia artificial en parque solar,"Segun el articulo, Brio Energia continua su expansion en parque solar.",63079
2026-05-27,Velfy,Europa Press,Analisis: el futuro de criptoactivos segun Velfy,"Segun el articulo, Velfy continua su expansion en criptoactivos.",87975
2026-06-10,Velfy,El Espanol,Velfy presenta su plan de fintech,"El reportaje analiza la posicion de Velfy en fintech, con datos del ultimo trimestre.",79604
2026-05-21,Brio Energia,La Vanguardia,Brio Energia refuerza su compromiso con la sostenibilidad,"Segun el articulo, Brio Energia continua su expansion en eolica marina.",88971
2026-06-28,Velfy,elDiario.es,Velfy crece en pagos digitales,"El reportaje analiza la posicion de Velfy en pagos digitales, con datos del ultimo trimestre.",64922
2026-06-09,Velfy,El Espanol,Velfy lidera pagos digitales,"El reportaje analiza la posicion de Velfy en pagos digitales, con datos del ultimo trimestre.",78852
2026-07-15,Lumora,La Vanguardia,Lumora gana cuota en baterias,"Segun el articulo, Lumora continua su expansion en baterias.",59311
2026-05-28,Lumora,El Pais,Lumora refuerza su estrategia de puntos de recarga,"Segun el articulo, Lumora continua su expansion en puntos de recarga.",65062
2026-06-28,Velfy,El Pais,Velfy invierte en pagos digitales,"El reportaje analiza la posicion de Velfy en pagos digitales, con datos del ultimo trimestre.",98774
2026-07-21,Velfy,Forbes Espana,Velfy invierte en ronda de financiacion,"Segun el articulo, Velfy continua su expansion en ronda de financiacion.",53281
2026-06-19,Brio Energia,elDiario.es,Brio Energia apuesta por autoconsumo,"Segun el articulo, Brio Energia continua su expansion en autoconsumo.",62330
2026-06-23,Nortia Retail,20minutos,Nortia Retail gana cuota en comercio electronico,Fuentes cercanas a Nortia Retail confirman movimientos en comercio electronico.,149239
2026-05-14,Brio Energia,El Pais,Analisis: el futuro de autoconsumo segun Brio Energia,"El reportaje analiza la posicion de Brio Energia en autoconsumo, con datos del ultimo trimestre.",62464
2026-07-18,Nortia Retail,El Confidencial,Nortia Retail apuesta por campana de rebajas,Fuentes cercanas a Nortia Retail confirman movimientos en campana de rebajas.,109251
2026-06-05,Lumora,20minutos,Lumora refuerza su estrategia de baterias,Fuentes cercanas a Lumora confirman movimientos en baterias.,166175
2026-06-01,Velfy,El Espanol,Velfy gana cuota en criptoactivos,Fuentes cercanas a Velfy confirman movimientos en criptoactivos.,72803
2026-06-21,Brio Energia,El Pais,Brio Energia cierra un acuerdo en hidrogeno verde,Fuentes cercanas a Brio Energia confirman movimientos en hidrogeno verde.,106922
2026-07-07,Velfy,ABC,Velfy apuesta por criptoactivos,"Segun el articulo, Velfy continua su expansion en criptoactivos.",90.000
2026-07-19,Lumora,ABC,Lumora y la inteligencia artificial en vehiculo electrico,Lumora destaca por su enfoque en vehiculo electrico e inteligencia artificial.,74515
2026-06-18,Brio Energia,Forbes Espana,Brio Energia cierra un acuerdo en autoconsumo,"El reportaje analiza la posicion de Brio Energia en autoconsumo, con datos del ultimo trimestre.",62016
2026-07-11,Nortia Retail,La Razon,Nortia Retail refuerza su estrategia de logistica de ultima milla,Fuentes cercanas a Nortia Retail confirman movimientos en logistica de ultima milla.,45825
2026-05-16,Nortia Retail,Expansion,Nortia Retail gana cuota en comercio electronico,Fuentes cercanas a Nortia Retail confirman movimientos en comercio electronico.,80762
2026-07-09,Lumora,El Mundo,Lumora y la analitica de flotas,Reportaje sobre flotas y datos de Lumora.,110000
2026-06-26,Lumora,El Espanol,Analisis: el futuro de flotas segun Lumora,Lumora destaca por su enfoque en flotas e inteligencia artificial.,59055
2026-06-21,Lumora,El Mundo,Lumora y la analitica de flotas,Reportaje sobre flotas y datos de Lumora.,110000
2026-06-24,Lumora,elDiario.es,Lumora anuncia novedades en flotas,La compania Lumora ha comunicado avances en flotas.,72006
2026-07-10,Nortia Retail,El Economista,Nortia Retail presenta su plan de omnicanalidad,"Segun el articulo, Nortia Retail continua su expansion en omnicanalidad.",63662
2026-07-13,Velfy,El Espanol,Velfy refuerza su compromiso con la sostenibilidad,"El reportaje analiza la posicion de Velfy en criptoactivos, con datos del ultimo trimestre.",69622
2026-06-04,Brio Energia,ABC,Brio Energia presenta su plan de hidrogeno verde,"El reportaje analiza la posicion de Brio Energia en hidrogeno verde, con datos del ultimo trimestre.",95615
2026-07-07,Brio Energia,Xataka,Brio Energia anuncia novedades en energia renovable,Fuentes cercanas a Brio Energia confirman movimientos en energia renovable.,51726
2026-06-07,Brio Energia,La Razon,Brio Energia lidera hidrogeno verde,La compania Brio Energia ha comunicado avances en hidrogeno verde.,49187
2026-06-11,Lumora,El Mundo,"Entrevista al CEO de Lumora: ""flotas es el futuro""",Lumora destaca por su enfoque en flotas e inteligencia artificial.,63510
2026-06-02,Velfy,Business Insider Espana,"Entrevista al CEO de Velfy: ""criptoactivos es el futuro""","El reportaje analiza la posicion de Velfy en criptoactivos, con datos del ultimo trimestre.",1.5M
2026-07-24,Lumora,Cinco Dias,Lumora gana cuota en flotas,"El reportaje analiza la posicion de Lumora en flotas, con datos del ultimo trimestre.",29469
2026-06-03,Brio Energia,La Vanguardia,Analisis: el futuro de parque solar segun Brio Energia,Brio Energia destaca por su enfoque en parque solar e inteligencia artificial.,104219
2026-06-15,Nortia Retail,El Mundo,Nortia Retail apuesta por comercio electronico,La compania Nortia Retail ha comunicado avances en comercio electronico.,99141
2026-05-24,Lumora,Cinco Dias,"Lumora lidera vehiculo electrico, segun fuentes del sector","Segun el articulo, Lumora continua su expansion en vehiculo electrico.",50243
2026-05-07,Lumora,20minutos,Lumora refuerza su compromiso con la sostenibilidad,"Segun el articulo, Lumora continua su expansion en puntos de recarga.",113988
2026-06-04,Velfy,El Espanol,Velfy cierra un acuerdo en fintech,"El reportaje analiza la posicion de Velfy en fintech, con datos del ultimo trimestre.",46011
2026-05-26,Nortia Retail,El Confidencial,Nortia Retail refuerza su estrategia de omnicanalidad,"El reportaje analiza la posicion de Nortia Retail en omnicanalidad, con datos del ultimo trimestre.",111300
2026-07-10,Nortia Retail,Business Insider Espana,Nortia Retail y la inteligencia artificial en comercio electronico,"El reportaje analiza la posicion de Nortia Retail en comercio electronico, con datos del ultimo trimestre.",44294
2026-07-23,Velfy,Business Insider Espana,Velfy y la inteligencia artificial en fintech,Velfy destaca por su enfoque en fintech e inteligencia artificial.,35321
2026-06-23,Velfy,ABC,Velfy anuncia novedades en fintech,"El reportaje analiza la posicion de Velfy en fintech, con datos del ultimo trimestre.",80883
2026-05-13,Velfy,Europa Press,Velfy cierra un acuerdo en criptoactivos,Velfy destaca por su enfoque en criptoactivos e inteligencia artificial.,90408
2026-07-09,Velfy,Europa Press,Analisis: el futuro de app de finanzas segun Velfy,"Segun el articulo, Velfy continua su expansion en app de finanzas.",79694
2026-07-13,Velfy,ABC,Velfy gana cuota en fintech,Fuentes cercanas a Velfy confirman movimientos en fintech.,59938
2026-05-15,Lumora,elDiario.es,Lumora cierra un acuerdo en baterias,Lumora destaca por su enfoque en baterias e inteligencia artificial.,26189
2026-07-15,Nortia Retail,El Confidencial,Nortia Retail lidera comercio electronico,"El reportaje analiza la posicion de Nortia Retail en comercio electronico, con datos del ultimo trimestre.",122729
2026-07-02,Nortia Retail,El Espanol,"Nortia Retail presenta su plan de comercio electronico, segun fuentes del sector",Nortia Retail destaca por su enfoque en comercio electronico e inteligencia artificial.,42290
2026-07-18,Lumora,El Mundo,Lumora y la analitica de flotas,Reportaje sobre flotas y datos de Lumora.,110000
2026-05-05,Brio Energia,Forbes Espana,Brio Energia apuesta por parque solar,Fuentes cercanas a Brio Energia confirman movimientos en parque solar.,42603
2026-05-16,Velfy,El Pais,Velfy apuesta por app de finanzas,Fuentes cercanas a Velfy confirman movimientos en app de finanzas.,139508
2026-06-20,Brio Energia,Europa Press,Brio Energia refuerza su estrategia de hidrogeno verde,Brio Energia destaca por su enfoque en hidrogeno verde e inteligencia artificial.,79345
2026-07-15,Nortia Retail,Europa Press,"Nortia Retail gana cuota en logistica de ultima milla, segun fuentes del sector",La compania Nortia Retail ha comunicado avances en logistica de ultima milla.,35323
2026-05-21,Lumora,Business Insider Espana,Lumora presenta su plan de baterias,La compania Lumora ha comunicado avances en baterias.,850K
2026-05-05,Lumora,Expansion,Lumora apuesta por movilidad electrica,Lumora destaca por su enfoque en movilidad electrica e inteligencia artificial.,49157
2026-07-24,Lumora,ABC,Lumora invierte en movilidad electrica,"El reportaje analiza la posicion de Lumora en movilidad electrica, con datos del ultimo trimestre.",90387
2026-07-24,Brio Energia,Cinco Dias,Brio Energia refuerza su compromiso con la sostenibilidad,La compania Brio Energia ha comunicado avances en parque solar.,76613
2026-07-16,Nortia Retail,Expansion,Nortia Retail apuesta por tiendas fisicas,Nortia Retail destaca por su enfoque en tiendas fisicas e inteligencia artificial.,100869
2026-05-12,Brio Energia,Forbes Espana,"Entrevista al CEO de Brio Energia: ""autoconsumo es el futuro""",Brio Energia destaca por su enfoque en autoconsumo e inteligencia artificial.,31326
2026-07-26,Nortia Retail,el pais,Nortia Retail invierte en tiendas fisicas,La compania Nortia Retail ha comunicado avances en tiendas fisicas.,102551
2026-07-13,Lumora,20minutos,Lumora gana cuota en puntos de recarga,Fuentes cercanas a Lumora confirman movimientos en puntos de recarga.,162293
2026-05-01,Nortia Retail,El Economista,Nortia Retail refuerza su estrategia de comercio electronico,"Segun el articulo, Nortia Retail continua su expansion en comercio electronico.",43831
2026-06-06,Nortia Retail,El Confidencial,Nortia Retail lidera tiendas fisicas,"El reportaje analiza la posicion de Nortia Retail en tiendas fisicas, con datos del ultimo trimestre.",63843
2026-05-21,Velfy,La Vanguardia,Velfy anuncia novedades en fintech,"Segun el articulo, Velfy continua su expansion en fintech.",67254
2026-06-03,Nortia Retail,Cinco Dias,Nortia Retail anuncia novedades en tiendas fisicas,"El reportaje analiza la posicion de Nortia Retail en tiendas fisicas, con datos del ultimo trimestre.",51610
2026-07-19,Nortia Retail,El Espanol,Nortia Retail y la inteligencia artificial en comercio electronico,"El reportaje analiza la posicion de Nortia Retail en comercio electronico, con datos del ultimo trimestre.",50662
2026-06-15,Lumora,Cinco Dias,"Lumora lidera baterias, segun fuentes del sector","El reportaje analiza la posicion de Lumora en baterias, con datos del ultimo trimestre.",51582
2026-05-17,Brio Energia,Expansion,Brio Energia gana cuota en eolica marina,La compania Brio Energia ha comunicado avances en eolica marina.,61676
2026-06-02,Brio Energia,ABC,"Brio Energia presenta su plan de hidrogeno verde, segun fuentes del sector","El reportaje analiza la posicion de Brio Energia en hidrogeno verde, con datos del ultimo trimestre.",93411
2026-05-25,Nortia Retail,El Espanol,Nortia Retail cierra un acuerdo en tiendas fisicas,"Segun el articulo, Nortia Retail continua su expansion en tiendas fisicas.",66310
